Marca,Tamanho,Tecnologia,Tela,Entradas,Dominio,arquivo,title
"
SAMSUNG
","
32 Polegadas
","
LED
","
1080 Pixels
","
HDMI
",Amazon,5.html,Smart TV LED 32'' HD Samsung LH32BETBLGGXZD | Amazon.com.br
"
Semp
","
50
","
LED
","
4K
","
Bluetooth, Wi-Fi, USB, HDMI
",Amazon,8.html,Android TV LED 50” SEMP SK8300 Ultra HD 4K HDR | Amazon.com.br
"
PHILCO
","
32
","
LED
","
1366 x 768
","
Ethernet, HDMI
",Amazon,9.html,Smart TV Philco PTV32G70SBL LED- HD- WIFI integrado | Amazon.com.br
"
SAMSUNG
","
32 Polegadas
","
LED
","
1080 Pixels
","
HDMI
",Amazon,12.html,Smart TV LED 32'' HD Samsung LH32BETBLGGXZD | Amazon.com.br
"
SAMSUNG
","
32 Polegadas
","
LED
","
1080 Pixels
","
HDMI
",Amazon,14.html,Smart TV LED 32'' HD Samsung LH32BETBLGGXZD | Amazon.com.br
"
SAMSUNG
","
32 Polegadas
","
LED
","
1080 Pixels
","
HDMI
",Amazon,16.html,Smart TV LED 32'' HD Samsung LH32BETBLGGXZD | Amazon.com.br
"
SAMSUNG
","
32 Polegadas
","
LED
","
1080 Pixels
","
HDMI
",Amazon,17.html,Smart TV LED 32'' HD Samsung LH32BETBLGGXZD | Amazon.com.br
"
TCL
","
50
","
LED
","
4K
","
Bluetooth, Wi-Fi, USB, HDMI
",Amazon,20.html,Android TV Led 50” Tcl P715 4K Uhd Hdr | Amazon.com.br
"
SAMSUNG
","
32 Polegadas
","
LED
","
1080 Pixels
","
HDMI
",Amazon,21.html,Smart TV LED 32'' HD Samsung LH32BETBLGGXZD | Amazon.com.br
"
PHILCO
","
39
","
LED
","
1366 x 768
","
HDMI
",Amazon,23.html,TV LED 39'' HD Philco PTV39G50D | Amazon.com.br
"
PHILCO
","
40 Polegadas
","
LED
","
1920 x 1080
","
HDMI
",Amazon,24.html,"Smart TV D LED 40"" PHILCO PTV40G60SNBL - Wi-Fi 3 HDMI 2 USB | Amazon.com.br"
"
SAMSUNG
","
32 Polegadas
","
LED
","
1980 Pixels
","
Wi-Fi, USB, HDMI
",Amazon,25.html,"Smart TV LED 32"", Samsung, UN32J4290AGXZD | Amazon.com.br"
"
SAMSUNG
","
32
","
LED
","
1366 x 768 Pixels
","
HDMI
",Amazon,27.html,"Smart TV LED 32"" HD Samsung UN32T4300AGXZD, Sistema Operacional Tizen, Wi-Fi, Espelhamento de Tela, Dolby Digital Plus, 2 HDMI e 1 USB | Amazon.com.br"
"
TCL
","
32 Polegadas
","
LED
","
1366 x 768
","
Bluetooth, Wi-Fi, USB, Ethernet, HDMI
",Amazon,31.html,Smart TV LED 32” TCL 32S6500 Android Wi-Fi HDR - Inteligência Artificial Conversor Digital 2 HDMI | Amazon.com.br
"
LG
","
43
","
LED
","
19201080 Pixels
","
HDMI
",Amazon,33.html,"Smart TV LED PRO 43"" Full HD LG 43LM631C0SB, ThinQ AI, 3 HDMI, 2 USB, Wi-Fi, Conversor Digital | Amazon.com.br"
"
LG
","
32
","
LED
","
1366 x 768 (HD)
","
HDMI
",Amazon,34.html,"TV LED 32"" LG 32LT330HBSB, 2 HDMI, 1 USB, Pro Conversor Digital | Amazon.com.br"
"
LG
","
20 Polegadas
","
LCD LED
","
768 Pixels
","
VGA, USB
",Amazon,37.html,"TV LED Monitor 20"" LG HD 20MT49DF-PS, Conversor Digital Integrdo, 1 HDM, 1 USB | Amazon.com.br"
"
SAMSUNG
","
50
","
LED
","
3,840 x 2,160 Pixels
","
HDMI
",Amazon,38.html,"Smart TV LED 50"" 4K UHD Samsung 50RU7100, 3 HDMI, 2 USB, Premium HDR e Wi-fi | Amazon.com.br"
"
Panasonic
","
40 Polegadas
","
LED
","
1920 x 1080
","
Wi-Fi, USB, Ethernet, HDMI
",Amazon,39.html,"Panasonic TC-40FS600B Smart TV LED 40"" Full HD, Conversor Digital, 2 HDMI, 1 USB, Bluetooth, Wi-Fi, Preto (Black) | Amazon.com.br"
"
SAMSUNG
","
55 Polegadas
","
LED
","
3840 x 2160 Pixels
","
HDMI
",Amazon,40.html,Smart TV LED 55” Ultra HD 4K HDR Samsung LH55BENELGAZD 3 HDMI 2 USB Wi-Fi | Amazon.com.br
"
SAMSUNG
","
58
","
LED
","
3840 x 2160
","
HDMI
",Amazon,41.html,"Smart TV LED 58"" 4K UHD Samsung UN58RU7100, Conversor Digital, 3 HDMI, 2 USB, Wi-Fi, Visual Livre de Cabos e Bluetooth | Amazon.com.br"
"
SAMSUNG
","
55 Polegadas
","
QLED
","
1080 Pixels
","
Bluetooth, USB, Ethernet, HDMI
",Amazon,42.html,"Smart TV 4K Samsung QLED 55"" UHD - QN55Q60TAGXZD | Amazon.com.br"
"
SAMSUNG
","
49 Centímetros
","
QLED
","
3.840 x 2.160 Pixels
","
USB, Ethernet, HDMI, Sem fio
",Amazon,43.html,Tv Samsung Smart 49'' QLED QN49Q60RAGXZD | Amazon.com.br
