Marca,Tamanho,Tecnologia,Tela,Entradas,Dominio,arquivo,title
null,43 Pol,LED,1920 x 1080,null,carrefour,3.html,"Smart TV 43'' LCD LED Philips 43PFG5813, Full HD, com Wi-Fi, 2 USB, 2 HDMI, Conversor Digital e Função Monitor - Carrefour"
null,58 Pol,LED,3840 X 2160,null,carrefour,5.html,"Smart TV Philips LED 58', 58PUG6654/78, 4K, UHD - Carrefour"
null,65 Pol,LED,4k,null,carrefour,7.html,Smart TV LED 65' 4K UHD LG 65UN731C 3 HDMI 2 USB Wi-Fi Assitente Virtual Bluetooth - Carrefour
null,60 Pol,LED,UHD 4K,null,carrefour,8.html,"Smart TV LED 60"" LG UN7310 UHD 4K Wi-Fi, Bluetooth, HDR 10 PRO e HLG Pro, Thinq AI, Google Assistente, Alexa - Carrefour"
null,70 Pol,LED,3840 X 2160,null,carrefour,9.html,"Smart TV LED 70"" LG UN7310 UHD 4K Wi-Fi, Bluetooth, HDR 10 PRO e HLG Pro, Thinq AI, Google Assistente, Alexa - Carrefour"
null,65 Pol,LED,3840 X 2160,null,carrefour,10.html,"Smart TV LED 65"" LG UN7310 UHD 4K Wi-Fi, Bluetooth, HDR 10 Pro e HLG Pro, Thinq AI, Google Assistente, Alexa - Carrefour"
null,55 Pol,LED,UHD 4K,null,carrefour,11.html,"Smart TV LED 55"" LG UN7310 UHD 4K Wi-Fi, Bluetooth, HDR 10 PRO e HLG Pro, Thinq AI, Google Assistente, Alexa - Carrefour"
null,43 Pol,LED,3840 X 2160,null,carrefour,12.html,"Smart TV LED 43"" LG 43UN7300 UHD 4K Bluetooth HDR 10 Thing Ai Google Assistente - Alexa Iot Função Gamer - Carrefour"
null,58 Pol,LED,Ultra HD 4K - 3840 x 2160 pixels,null,carrefour,14.html,"Smart TV LED 58"" Philco PTV58G71AGBLS UHD 4K Android TV, Processador Quad Core, Dolby Vision e Áudio, Wi-Fi - Carrefour"
null,55,LED,"3,840 x 2,160",null,carrefour,71.html,Smart TV Samsung 55 LH55BETHVGGXZD Crystal 4K HDR10 Processador Tecnologia de Business TV - Carrefour
null,55,QLED,4K,null,carrefour,72.html,Smart Tv Samsung 55 Polegadas QLED 4K Ultra QN50Q60TAGXZD - Carrefour
null,82 Pol,LED,4k,null,carrefour,78.html,"Smart TV LED 82"" LG UN8000 UHD 4K Wi-Fi, Bluetooth, HDR 10 Pro e HLG Pro, Thinq AI, Google Assistente, Alexa - Carrefour"
null,43 Pol,LED,UHD 4K,null,carrefour,83.html,"Samsung Smart TV QLED 4K The Frame 43"" Modo Arte, Modo Ambiente 3.0, Molduras customizáveis e Suporte No-Gap - Carrefour"
null,65 Pol,OLED,4k,null,carrefour,99.html,"Smart TV OLED 65"" LG OLED65GXPSA UHD 4K Bluetooth + Smart TV LED 65"" LG UN7310 UHD 4K Wi-Fi, Bluetooth - Carrefour"
null,65 Pol,OLED,4k,null,carrefour,100.html,"Smart TV OLED 65"" LG OLED65GXPSA UHD 4K Bluetooth, Google Assistente + Smart TV LED 55"" LG UN7310 UHD 4K - Carrefour"
null,77 Pol,OLED,4k,null,carrefour,101.html,"Smart TV OLED 77"" LG OLED77CXPSA UHD 4K Bluetooth, HDR, Thinq AI, @9 Processador, Google Assistente Alexa - Carrefour"
null,55 Pol,LED,UHD 4K,null,carrefour,107.html,"Samsung Smart TV QLED 4K The Frame 55"" Modo Arte, Modo Ambiente 3.0 + Smart TV LED 32"" Samsung T4300 HD WIFI - Carrefour"
null,50 Pol,LED,UHD 4K,null,carrefour,115.html,"Samsung Smart TV 50"" Crystal UHD TU7000 4K, Borda Infinita, Controle Único, Bluetooth, Processador Crystal 4K - Carrefour"
null,75 Pol,LED,UHD 8K,null,carrefour,119.html,"Samsung Smart TV 75"" QLED 8K Q800T Processador com IA, Suporte No-Gap, Alexa, Som em Movimento, Modo Ambiente - Carrefour"
null,65 Pol,LED,UHD 8K,null,carrefour,127.html,"Samsung Smart TV 65"" QLED Q800T 8K Processador com IA, Suporte No-Gap, Alexa, Som em Movimento, Modo Ambiente - Carrefour"
