Marca,Tamanho,Tecnologia,Tela,Entradas,Dominio,arquivo,title
Semp,"50""",LED,3840 x 2160 pixels 4K,null,Gazin,1.html,"Smart TV Semp LED 50"" 4K Wi-Fi Android Comando de Voz SK8300"
Semp,"50""",LED,3840 x 2160 pixels 4K,null,Gazin,3.html,"Smart TV Semp LED 50"" 4K Wi-Fi Android Comando de Voz SK8300"
Multilaser,"24""",LED,1366 x 768 pixels,null,Gazin,693.html,"TV Monitor Multilaser LED 24"" HD HDMI RCA 30Hz TL021"
Multilaser,"24""",LED,1366 x 768 pixels,null,Gazin,695.html,"TV Monitor Multilaser LED 24"" HD HDMI RCA 30Hz TL021"
LG,"29""",LED,2560 x 1080 pixels,null,Gazin,696.html,"Monitor LG LED 29"" UltraWide Full HD HDMI com Screen Split 29WK500"
AOC,"24,5""",LED,1920 x 1080 pixels,null,Gazin,697.html,"Monitor Gamer Agon AOC LED 24,5"" Wide Full HD 240Hz Freesync AG251FZ2"
AOC,"24""",W-LED,1920 x 1080 pixels,null,Gazin,698.html,"Monitor Gamer AOC Speed LED 24"" Wide IPS Full HD 75Hz HDMI 24G2HE5"
Acer,"21.5""",LED,1920 x 1080 pixels,null,Gazin,699.html,"Monitor Acer LED 21.5"" Full HD HDMI VGA 75Hz com Webcam B227Q"
Acer,"21,5""",LED,1920 x 1080 pixels  ,null,Gazin,701.html,"Monitor Acer LED 21,5"" Widescreen Full HD HDMI VGA 60Hz V226HQL"
LG,"21,5""",LED,1920 x 1080 pixels,null,Gazin,702.html,"Monitor LG LED 21.5"" Wide Full HD HDMI 22MK400H Montável na ParedeMonitor LG LED 21.5"" Widescreen Full HD HDMI Montável na Parede 22MK400H"
LG,"23,8""",LED,1920 x 1080 pixels,null,Gazin,703.html,"Monitor LG LED 23,8"" IPS Full HD HDMI 24MK430B"
Benq,"24""",LED,1920 x 1080 pixels,null,Gazin,704.html,"Monitor Gamer Benq LED 24"" Widescreen Full HD para E-Sports Xl2411P"
LG,"29""",LED,2560 x 1080 pixels,null,Gazin,714.html,"Monitor LG LED 29"" UltraWide Full HD HDMI com Screen Split 29WK500"
AOC,"24,5""",LED,1920 x 1080 pixels,null,Gazin,715.html,"Monitor Gamer Agon AOC LED 24,5"" Wide Full HD 240Hz Freesync AG251FZ2"
AOC,"24""",W-LED,1920 x 1080 pixels,null,Gazin,716.html,"Monitor Gamer AOC Speed LED 24"" Wide IPS Full HD 75Hz HDMI 24G2HE5"
Acer,"21.5""",LED,1920 x 1080 pixels,null,Gazin,717.html,"Monitor Acer LED 21.5"" Full HD HDMI VGA 75Hz com Webcam B227Q"
Acer,"21,5""",LED,1920 x 1080 pixels  ,null,Gazin,719.html,"Monitor Acer LED 21,5"" Widescreen Full HD HDMI VGA 60Hz V226HQL"
LG,"21,5""",LED,1920 x 1080 pixels,null,Gazin,720.html,"Monitor LG LED 21.5"" Wide Full HD HDMI 22MK400H Montável na ParedeMonitor LG LED 21.5"" Widescreen Full HD HDMI Montável na Parede 22MK400H"
LG,"23,8""",LED,1920 x 1080 pixels,null,Gazin,721.html,"Monitor LG LED 23,8"" IPS Full HD HDMI 24MK430B"
Benq,"24""",LED,1920 x 1080 pixels,null,Gazin,722.html,"Monitor Gamer Benq LED 24"" Widescreen Full HD para E-Sports Xl2411P"
Acer,"24,5""",Full HD,1920 x 1080 pixels,null,Gazin,723.html,"Monitor Gamer Acer Predator IPS G-Sync 24,5"" Full HD HDMI 240Hz XB253Q"
Acer,"23""",IPS,1920 x 1080 pixels,null,Gazin,724.html,"Monitor Acer Ultra Fino IPS Slim 23"" Full HD HDMI 75Hz SA230"
Acer,"24,5""",Full HD,1920 x 1080 pixels,null,Gazin,727.html,"Monitor Gamer Acer Predator IPS G-Sync 24,5"" Full HD HDMI 240Hz XB253Q"
Acer,"23""",IPS,1920 x 1080 pixels,null,Gazin,728.html,"Monitor Acer Ultra Fino IPS Slim 23"" Full HD HDMI 75Hz SA230"
