Marca,Tamanho,Tecnologia,Tela,Entradas,Dominio,arquivo,title
"     Marca     Samsung         Referência    UN50TU7000GXZD




         Modelo    50TU7000     ","       50""     ","       - LED
- Crystal UHD     ","     Resolução (Pixels)    3840x2160
     ","       - 2 HDMI
- 1 USB
- 1 Ethernet (LAN)
- 1 Saída de Áudio Digital Óptica
- 1 Entrada de RF
     ",Magazine Luiza,0.html,Smart TV Crystal UHD 4K LED 50” Samsung  - 50TU7000 Wi-Fi Bluetooth HDR 2 HDMI 1 USB - TV 4K Ultra HD - Magazine Luiza
"     Marca     Samsung         Referência    UN55TU7000GXZD
         Modelo    UN55TU7000GXZD     ","       55""
     ","       - LED
- Crystal UHD     ","     Resolução (Pixels)    3840 x 2160
     ","       - 2 HDMI 
- 1 USB
- 1 Ethernet (LAN)
- 1 Entrada de RF
- 1 Saída de áudio óptica     ",Magazine Luiza,4.html,Smart TV Crystal UHD 4K LED 55” Samsung  - UN55TU7000GXZD Wi-Fi Bluetooth 2 HDMI 1 USB - Smart TV - Magazine Luiza
"     Marca     Samsung         Referência    UN75TU8000GXZD


         Modelo    75TU8000     ","       75""     ","       - LED
- Crystal UHD     ","     Resolução (Pixels)    3840x2160
     ","       - 3 HDMI
- 2 USB
- 1 Entrada composto (AV)
- 1 Ethernet (LAN)
- 1 Saída de Áudio Digital Óptica
- 1 Entrada de RF
     ",Magazine Luiza,5.html,Smart TV Crystal UHD 4K LED 75” Samsung  - 75TU8000 Wi-Fi Bluetooth HDR 3 HDMI 2 USB - Smart TV - Magazine Luiza
"     Marca     Samsung         Referência    UN65TU8000GXZD

         Modelo    65TU8000      ","       65""     ",       LED     ,"     Resolução (Pixels)    3840x2160
     ","       - 3 HDMI
- 2 USB
- 1 Entrada composto (AV)
- Ethernet (LAN)
- 1 Saída de Áudio Digital Óptica
- 1 Entrada de RF
     ",Magazine Luiza,13.html,Smart TV Crystal UHD 4K LED 65” Samsung  - 65TU8000 Wi-Fi Bluetooth HDR 3 HDMI 2 USB - Smart TV - Magazine Luiza
"     Marca     Samsung         Referência    UN43TU7000GXZD



         Modelo    43TU7000      ","       43""     ","       - LED
- Crystal UHD     ","     Resolução (Pixels)    3840x2160
     ","       - 2 HDMI
- 1 USB
- 1 Ethernet (LAN)
- 1 Saída de Áudio Digital Óptica
- 1 Entrada de RF
     ",Magazine Luiza,14.html,Smart TV Crystal UHD 4K LED 43” Samsung  - 43TU7000 Wi-Fi Bluetooth HDR 2 HDMI 1 USB - Smart TV - Magazine Luiza
"     Marca    LG         Referência    43UN7300PSC

         Modelo    43UN7300PSC     ","       43""     ",       LED     ,     Resolução (Pixels)    2160p         Formato da tela    16:9     ,"       3 HDMI, 2 USB, 1 Saída Óptica, 1 Entrada RF para TV Aberta, 1 Entrada LAN RJ45 e 1 Entrada Vídeo Componente/AV     ",Magazine Luiza,16.html,Smart TV UHD 4K LED IPS 43” LG 43UN7300PSC Wi-Fi - Bluetooth Inteligência Artificial 3 HDMI 2 USB - TV 4K Ultra HD - Magazine Luiza
"     Marca    LG         Referência    50UN7310PSC
         Modelo    50UN7310PSC     ","       50""     ",       LED     ,     Resolução (Pixels)    2160p         Formato da tela    16:9     ,"       3 HDMI, 2 USB, 1 Saída Óptica, 1 Entrada RF para TV Aberta, 1 Entrada LAN RJ45 e 1 Entrada Vídeo Componente/AV     ",Magazine Luiza,17.html,Smart TV UHD 4K LED 50” LG 50UN7310PSC Wi-Fi - Bluetooth Inteligência Artificial 3 HDMI 2 USB - TV 4K Ultra HD - Magazine Luiza
"     Marca     Samsung         Referência    UN55TU8000GXZD
         Modelo    55TU8000         Linha    Crystal     ","       55""     ","       - LED
     ","     Resolução (Pixels)    3840x2160
     ","       - 3 HDMI
- 2 USB
- 1 Entrada composto (AV)
- 1 Ethernet (LAN)
- 1 Saída de Áudio Digital Óptica
- 1 Entrada de RF
     ",Magazine Luiza,18.html,Smart TV Crystal UHD 4K LED 55” Samsung  - 55TU8000 Wi-Fi Bluetooth HDR 3 HDMI 2 USB - Smart TV - Magazine Luiza
"     Marca     Samsung         Referência    UN50TU8000GXZD
         Modelo    50TU8000     ","       50""     ","       - LED
- Crystal UHD     ","     Resolução (Pixels)    3840x2160
     ","       - 3 HDMI
- 2 USB
- 1 Entrada composto (AV)
- 1 Ethernet (LAN)
- 1 Saída de Áudio Digital Óptica
- 1 Entrada de RF
     ",Magazine Luiza,19.html,Smart TV Crystal UHD 4K LED 50” Samsung  - 50TU8000 Wi-Fi Bluetooth HDR 3 HDMI 2 USB - Smart TV - Magazine Luiza
"     Marca     Samsung         Referência    UN50TU7000GXZD




         Modelo    50TU7000     ","       50""     ","       - LED
- Crystal UHD     ","     Resolução (Pixels)    3840x2160
     ","       - 2 HDMI
- 1 USB
- 1 Ethernet (LAN)
- 1 Saída de Áudio Digital Óptica
- 1 Entrada de RF
     ",Magazine Luiza,20.html,Smart TV Crystal UHD 4K LED 50” Samsung  - 50TU7000 Wi-Fi Bluetooth HDR 2 HDMI 1 USB - Smart TV - Magazine Luiza
"     Marca     Samsung         Referência    UN55TU7000GXZD
         Modelo    UN55TU7000GXZD     ","       55""
     ","       - LED
- Crystal UHD     ","     Resolução (Pixels)    3840 x 2160
     ","       - 2 HDMI 
- 1 USB
- 1 Ethernet (LAN)
- 1 Entrada de RF
- 1 Saída de áudio óptica     ",Magazine Luiza,21.html,Smart TV Crystal UHD 4K LED 55” Samsung  - UN55TU7000GXZD Wi-Fi Bluetooth 2 HDMI 1 USB - Smart TV - Magazine Luiza
"     Marca     Samsung         Referência    UN75TU8000GXZD


         Modelo    75TU8000     ","       75""     ","       - LED
- Crystal UHD     ","     Resolução (Pixels)    3840x2160
     ","       - 3 HDMI
- 2 USB
- 1 Entrada composto (AV)
- 1 Ethernet (LAN)
- 1 Saída de Áudio Digital Óptica
- 1 Entrada de RF
     ",Magazine Luiza,22.html,Smart TV Crystal UHD 4K LED 75” Samsung  - 75TU8000 Wi-Fi Bluetooth HDR 3 HDMI 2 USB - Smart TV - Magazine Luiza
"     Marca     Samsung         Referência    UN65TU8000GXZD

         Modelo    65TU8000      ","       65""     ",       LED     ,"     Resolução (Pixels)    3840x2160
     ","       - 3 HDMI
- 2 USB
- 1 Entrada composto (AV)
- Ethernet (LAN)
- 1 Saída de Áudio Digital Óptica
- 1 Entrada de RF
     ",Magazine Luiza,27.html,Smart TV Crystal UHD 4K LED 65” Samsung  - 65TU8000 Wi-Fi Bluetooth HDR 3 HDMI 2 USB - Smart TV - Magazine Luiza
"     Marca     Samsung         Referência    UN43TU7000GXZD



         Modelo    43TU7000      ","       43""     ","       - LED
- Crystal UHD     ","     Resolução (Pixels)    3840x2160
     ","       - 2 HDMI
- 1 USB
- 1 Ethernet (LAN)
- 1 Saída de Áudio Digital Óptica
- 1 Entrada de RF
     ",Magazine Luiza,28.html,Smart TV Crystal UHD 4K LED 43” Samsung  - 43TU7000 Wi-Fi Bluetooth HDR 2 HDMI 1 USB - Smart TV - Magazine Luiza
"     Marca    LG         Referência    43UN7300PSC

         Modelo    43UN7300PSC     ","       43""     ",       LED     ,     Resolução (Pixels)    2160p         Formato da tela    16:9     ,"       3 HDMI, 2 USB, 1 Saída Óptica, 1 Entrada RF para TV Aberta, 1 Entrada LAN RJ45 e 1 Entrada Vídeo Componente/AV     ",Magazine Luiza,29.html,Smart TV UHD 4K LED IPS 43” LG 43UN7300PSC Wi-Fi - Bluetooth Inteligência Artificial 3 HDMI 2 USB - TV 4K Ultra HD - Magazine Luiza
"     Marca    LG         Referência    50UN7310PSC
         Modelo    50UN7310PSC     ","       50""     ",       LED     ,     Resolução (Pixels)    2160p         Formato da tela    16:9     ,"       3 HDMI, 2 USB, 1 Saída Óptica, 1 Entrada RF para TV Aberta, 1 Entrada LAN RJ45 e 1 Entrada Vídeo Componente/AV     ",Magazine Luiza,30.html,Smart TV UHD 4K LED 50” LG 50UN7310PSC Wi-Fi - Bluetooth Inteligência Artificial 3 HDMI 2 USB - TV 4K Ultra HD - Magazine Luiza
"     Marca     Samsung         Referência    UN55TU8000GXZD
         Modelo    55TU8000         Linha    Crystal     ","       55""     ","       - LED
     ","     Resolução (Pixels)    3840x2160
     ","       - 3 HDMI
- 2 USB
- 1 Entrada composto (AV)
- 1 Ethernet (LAN)
- 1 Saída de Áudio Digital Óptica
- 1 Entrada de RF
     ",Magazine Luiza,31.html,Smart TV Crystal UHD 4K LED 55” Samsung  - 55TU8000 Wi-Fi Bluetooth HDR 3 HDMI 2 USB - Smart TV - Magazine Luiza
"     Marca     Samsung         Referência    UN50TU8000GXZD
         Modelo    50TU8000     ","       50""     ","       - LED
- Crystal UHD     ","     Resolução (Pixels)    3840x2160
     ","       - 3 HDMI
- 2 USB
- 1 Entrada composto (AV)
- 1 Ethernet (LAN)
- 1 Saída de Áudio Digital Óptica
- 1 Entrada de RF
     ",Magazine Luiza,32.html,Smart TV Crystal UHD 4K LED 50” Samsung  - 50TU8000 Wi-Fi Bluetooth HDR 3 HDMI 2 USB - Smart TV - Magazine Luiza
"     Marca     Samsung         Referência    UN50TU7000GXZD




         Modelo    50TU7000     ","       50""     ","       - LED
- Crystal UHD     ","     Resolução (Pixels)    3840x2160
     ","       - 2 HDMI
- 1 USB
- 1 Ethernet (LAN)
- 1 Saída de Áudio Digital Óptica
- 1 Entrada de RF
     ",Magazine Luiza,33.html,Smart TV Crystal UHD 4K LED 50” Samsung  - 50TU7000 Wi-Fi Bluetooth HDR 2 HDMI 1 USB - Smart TV - Magazine Luiza
"     Marca     Samsung         Referência    QN50Q60TAGXZD
         Modelo    50Q60TA     ","       50""
     ","       QLED
     ","     Resolução (Pixels)    3840x2160
         Formato da tela    Widescreen     ","       - 3 Entradas HDMI
- 2 Entradas USB
- Entrada AV
- Ethernet
- Saída de áudio digital
- Entrada de RF (cabo)     ",Magazine Luiza,34.html,Smart TV 4K QLED 50” Samsung 50Q60TA - Wi-Fi Bluetooth HDR 3 HDMI 2 USB - Smart TV - Magazine Luiza
"     Marca     Samsung         Referência    QN55Q80TAGXZD






         Modelo    55Q80TA     ","       55""
     ","       QLED
     ","     Resolução (Pixels)    3840 x 2160
     ","       - 4 HDMI
- 2 USB
- 1 Ethernet (LAN)
- 1 Saída de Áudio Digital Óptica
- Entrada de RF     ",Magazine Luiza,39.html,Smart TV 4K QLED 55” Samsung Q80TA Alexa Built In - Pontos Quânticos Modo Game Som em Movimento - Smart TV - Magazine Luiza
"     Marca     Samsung         Referência    UN58TU7020GXZD
         Modelo    UN58TU7020GXZD     ","       58""     ",       Crystal UHD     ,     Resolução (Pixels)    3840x2160         Formato da tela    16:9     ,"       - 2 entradas HDMI
- 1 entrada USB
- 1 entrada RF
- 1 saída óptica
     ",Magazine Luiza,42.html,Smart TV 4K Crystal UHD 58” Samsung UN58TU7020GXZD - Wi-Fi Bluetooth HDR10+ 2 HDMI 1 USB - Smart TV - Magazine Luiza
"     Marca     Samsung         Referência    UN65TU7000GXZD
         Modelo    65TU7000     ","       65""
     ","       - LED
- Crystal UHD     ","     Resolução (Pixels)    3840x2160
     ","       - 1 HDMI
- 1 USB
- 1 Ethernet (LAN)
- 1 Entrada de RF
- 1 Saída óptica
     ",Magazine Luiza,68.html,Smart TV Crystal UHD 4K LED 65” Samsung  - 65TU7000 Wi-Fi Bluetooth 2 HDMI 1 USB - Smart TV - Magazine Luiza
"     Marca     Samsung         Referência    UN65TU7000GXZD
         Modelo    65TU7000     ","       65""
     ","       - LED
- Crystal UHD     ","     Resolução (Pixels)    3840x2160
     ","       - 1 HDMI
- 1 USB
- 1 Ethernet (LAN)
- 1 Entrada de RF
- 1 Saída óptica
     ",Magazine Luiza,74.html,Smart TV Crystal UHD 4K LED 65” Samsung  - 65TU7000 Wi-Fi Bluetooth 2 HDMI 1 USB - Smart TV - Magazine Luiza
"     Marca    LG         Referência    82UN8000

         Modelo    82UN8000PSB     ","       82""     ",       LED     ,     Resolução (Pixels)    3840x2160p         Formato da tela    16:9     ,"       - 4 Entradas HDMI
- 3 Entradas USB
- 1 Entrada RF
- 1 Saída Ótica     ",Magazine Luiza,130.html,Combo Smart TV UHD 4K LED 82” LG 82UN8000PSB - Wi-Fi + Smart TV UHD 4K LED 50” Wi-Fi Bluetooth - Smart TV - Magazine Luiza
"     Marca    LG         Referência    75UN8000


         Modelo    75UN8000PSB     ","       75""     ",       LED     ,     Resolução (Pixels)    3840x2160p         Formato da tela    16:9     ,"       - 4 Entradas HDMI
- 2 Entradas USB
- 1 Entrada RF
- 1 Saída Ótica     ",Magazine Luiza,137.html,Combo Smart TV 4K LED IPS 75” LG 75UN8000PSB - Wi-Fi + Smart TV UHD 4K LED 50” Wi-Fi Bluetooth - Smart TV - Magazine Luiza
